method_name,model_size,macs,run_time,angular_error_mean,angular_error_p25,angular_error_p50,angular_error_p75,angular_error_p90,angular_error_p99,angular_error_p9999,delta_e_mean,delta_e_p25,delta_e_p50,delta_e_p75,delta_e_p90,delta_e_p99,delta_e_p9999,delta_c_mean,delta_c_p25,delta_c_p50,delta_c_p75,delta_c_p90,delta_c_p99,delta_c_p9999
lightbox/Canon_MLP2DXY32X1_dirchletplushoang,1.53515625,6.674630165100098,0.4052424430847168,2.9257382209581664,1.470175058207893,2.3457047250799437,3.692645747515023,5.784597816236396,9.317780559284314,10.195127013649433,6.959108457903057,3.8557635238288834,6.160254490312448,8.706831872560885,12.194368827324375,23.099439976735823,49.52577900005828,6.383693441848343,1.1556648418466744,3.112184319111373,7.732412310245174,14.714461408614964,41.376702204726605,288.96524129780414
lightbox/Canon_MLP2DXY32X1_dirchletplushoang_mtrootpolynomial2,2.6953125,13.34910774230957,1.0639405250549316,2.6229952319535474,1.300447060580785,2.021290138138121,3.2808936396819326,5.369612424058142,9.025612267515214,10.07371106665685,7.484384595907667,4.2826225534816516,6.8815658053500135,9.496842226483297,12.575296853304616,23.20692449349437,41.292991881391515,5.5869690538957535,1.1917866404339907,3.570529483402346,7.263582102488007,12.973228756596972,31.795325662194035,110.71907211278032
lightbox/Pixel_MLP2DXY32X1_dirchletplushoang,1.53515625,6.674630165100098,0.35430431365966797,3.625842170151693,2.0278484865618323,2.7873424120526145,4.480509185309216,6.88143894117016,11.712892328756212,12.280885848892256,7.762279835345849,4.555583966941807,6.865634265076743,10.075220723081909,13.068576491895927,23.68760186306203,43.761028463086305,7.250960716244116,1.4550280051369535,3.70151860822007,8.95466188923939,16.875864419904815,48.18267594908363,396.08309495751246
lightbox/Pixel_MLP2DXY32X1_dirchletplushoang_mtrootpolynomial2,2.6953125,13.34910774230957,1.1585569381713867,3.2799039751434957,1.8637764335674127,2.43817552623716,4.173578682896856,6.3142593849077295,10.894337864645571,11.496289458545707,7.793712147651315,4.761325157355561,6.789212772665989,10.240838191265123,13.518495555979086,22.81471937268321,38.24299686084483,6.1481463475308225,1.6342635828384395,3.8799255116952143,7.7125181498411415,13.654062720645953,35.993744635445154,66.7310656062606
lightbox/Samsung_MLP2DXY32X1_dirchletplushoang,1.53515625,6.674630165100098,0.3649759292602539,3.6312986807432646,2.051143711130818,2.6148189470436356,4.591415093772958,6.772253253436356,11.134794656606697,11.703826024586503,7.560996447634036,4.10704627431992,6.997349356437545,9.838245939349061,13.003297088224295,23.47870829521684,36.765643240187515,7.424369858566355,1.4474024043916458,3.829895489039684,8.963093419676271,17.477498253301054,47.97301825496589,348.29623847569883
lightbox/Samsung_MLP2DXY32X1_dirchletplushoang_mtrootpolynomial2,2.6953125,13.34910774230957,1.0698199272155762,3.306329793985432,1.8973934160933115,2.4820299201770553,4.063011421709228,6.051712817210369,10.663218545925494,11.936368177927841,8.267793998029061,4.917005930090079,7.575587462178231,10.708381418862887,13.543116686213562,23.131754827616586,54.63091999766827,6.7979029897858405,1.7674825349669727,4.152420902543106,8.401451382851329,14.18647520431664,35.283492988178985,410.12781508111397
lightbox/Sony_MLP2DXY32X1_dirchletplushoang,1.53515625,6.674630165100098,0.36249637603759766,2.6788580229270504,1.3037209385490423,2.1346180621255586,3.394481680315171,5.1183213015895594,7.816304981278561,10.645265454801699,6.45714499300912,3.5542365489240133,5.786116303742993,8.057002442878296,11.094040616434572,20.630048831100595,34.788325145619346,5.756504133738374,1.1834186496141101,3.1585481624638767,7.15075043433731,13.379544761035175,37.23767533272477,123.0113438731717
lightbox/Sony_MLP2DXY32X1_dirchletplushoang_mtrootpolynomial2,2.6953125,13.34910774230957,1.0656094551086426,2.3851312649446017,1.2012209214380691,1.8063810769832016,3.030642775834487,4.797549077296306,7.110346513157541,10.437845844606526,7.16090339776464,4.462462540199017,6.475049785188686,8.870616711393717,11.646896855326226,21.788959228492917,41.22225484098495,5.287926786698261,1.484292991758158,3.5973092958834236,7.265566400620923,11.806506907306222,26.497443782498667,51.71798678697157
